Premise,Hypothesis,Label
Employers cannot punish workers for participating in legal proceedings.,Employees may be disciplined or terminated for providing evidence in any legal or tribunal proceedings.,CONTRADICTION
Employees cannot be punished for claiming lawful employment benefits.,"No adverse action shall be taken against the Employee for claiming any benefit to which the Employee is entitled under a collective agreement, settlement, award, or Labour Tribunal order.",ENTAILMENT
Employees cannot be punished for claiming lawful employment benefits.,The Employer may terminate or penalize Employees for claiming collective agreement or tribunal-awarded benefits.,CONTRADICTION
Any contract clause that limits worker rights under this Act is invalid.,Any provision of this Agreement that limits or diminishes rights conferred by the Industrial Disputes Act or by any award of a Labour Tribunal is null and void to the extent of such inconsistency.,ENTAILMENT
Any contract clause that limits worker rights under this Act is invalid.,Any contract clause limiting or modifying worker rights under this Act shall be valid and enforceable.,CONTRADICTION
Retrenched workers must be given priority when rehiring.,"If the Employer proposes to hire new Employees following retrenchment, preference shall be given to any previously retrenched Employees who offer themselves for re-employment, provided they meet the necessary qualifications.",ENTAILMENT
Retrenched workers must be given priority when rehiring.,The Employer may hire new Employees without giving preference to previously retrenched workers.,CONTRADICTION
An employee must not be employed for more than 8 hours per day or 45 hours per week (excluding rest/meal breaks).,"The normal working hours of the Employee shall not exceed eight (8) hours on any day and forty-five (45) hours in any week, exclusive of intervals allowed for rest or meals, in accordance with applicable law.",ENTAILMENT
An employee must not be employed for more than 8 hours per day or 45 hours per week (excluding rest/meal breaks).,"The Employee agrees to work up to twelve (12) hours per day and sixty (60) hours per week without restriction, excluding breaks.",CONTRADICTION
"If an employee has worked earlier for another employer that day, the total hours for both employments must not exceed the legal daily limit.","Where the Employee has been employed by another employer on the same day, the Employer shall ensure that the total hours worked by the Employee on that day do not exceed the maximum daily hours prescribed by law.",ENTAILMENT
"If an employee has worked earlier for another employer that day, the total hours for both employments must not exceed the legal daily limit.",The Employer shall not consider hours worked by the Employee for any other employer when assigning daily working hours,CONTRADICTION
An employee must be given one full holiday and one half-holiday each week with pay if they have worked at least 28 hours that week.,"The Employee shall be granted one (1) full holiday and one (1) half-holiday in each week with full remuneration, provided the Employee has worked not less than twenty-eight (28) hours during that week, exclusive of overtime.",ENTAILMENT
An employee must be given one full holiday and one half-holiday each week with pay if they have worked at least 28 hours that week.,"The Employee is not entitled to any weekly holidays or half-holidays, whether paid or unpaid",CONTRADICTION
"In the first year of employment, an employee must be granted paid annual leave based on the start date (14/10/7/4 days).","During the first year of employment, the Employee shall be entitled to paid annual leave calculated in accordance with the commencement date, as prescribed by law, and the Employer shall grant such leave with full remuneration.",ENTAILMENT
"In the first year of employment, an employee must be granted paid annual leave based on the start date (14/10/7/4 days).",No paid annual leave shall be granted during the first year of employment under any circumstances,CONTRADICTION
"From the second year onward, an employee is entitled to at least 14 days of paid annual leave, including at least 7 consecutive days.","From the second and subsequent years of employment, the Employee shall be entitled to fourteen (14) days of paid annual leave, of which not less than seven (7) days shall be taken consecutively.",ENTAILMENT
"From the second year onward, an employee is entitled to at least 14 days of paid annual leave, including at least 7 consecutive days.",Annual leave shall be limited to five (5) days per year and need not be consecutive,CONTRADICTION
Annual leave must be taken in the year after the year of employment with dates agreed by employer and employee.,"Annual leave earned in any year shall be taken in the year immediately succeeding, on dates mutually agreed upon by the Employer and the Employee.",ENTAILMENT
Annual leave must be taken in the year after the year of employment with dates agreed by employer and employee.,Unused annual leave shall automatically lapse and cannot be taken or carried forward,CONTRADICTION
An employee is entitled to up to 7 days of paid casual/medical leave per year.,"The Employee shall be entitled to paid leave for private business, illness, or other reasonable cause for a total period not exceeding seven (7) days in each year of employment.",ENTAILMENT
An employee is entitled to up to 7 days of paid casual/medical leave per year.,"The Employee shall not be entitled to any casual, medical, or personal leave with pay.",CONTRADICTION
"In the first year, casual leave accrues at 1 day per 2 months of service.","During the first year of employment, paid casual leave shall accrue at the rate of one (1) day for each completed period of two (2) months of service.",ENTAILMENT
"In the first year, casual leave accrues at 1 day per 2 months of service.",No leave of any kind shall accrue during the first year of employment,CONTRADICTION
"From the second year onward, casual leave may be taken during that year.","From the second and subsequent years of employment, the Employee may take paid casual leave during the relevant year of employment.",ENTAILMENT
"From the second year onward, casual leave may be taken during that year.",Casual leave may only be granted at the sole discretion of the Employer and is not an entitlement,CONTRADICTION
Approved absences do not affect service continuity.,Authorized leave or employer-approved absence shall not interrupt the continuity of the Employee’s service for statutory benefit calculations.,ENTAILMENT
Approved absences do not affect service continuity.,"Any absence from work, whether approved or not, shall be treated as a break in service",CONTRADICTION
"On termination, the employee must be allowed unused annual leave with pay or be paid in lieu if leave cannot be taken.","Upon termination of employment, the Employee shall be entitled to take or be paid in lieu of any accrued annual leave, calculated in accordance with statutory provisions.",ENTAILMENT
"On termination, the employee must be allowed unused annual leave with pay or be paid in lieu if leave cannot be taken.","Upon termination, the Employee forfeits all unused leave and is not entitled to payment in lieu",CONTRADICTION
Employees retain leave rights during notice periods,The giving of notice of termination shall not prejudice the Employee’s right to take any statutory leave accrued prior to the termination date,ENTAILMENT
Employees retain leave rights during notice periods,No leave may be taken once notice of termination has been issued by either party.,CONTRADICTION
"An employee must be given paid public holidays, up to 9 days per year.","The Employee shall be granted paid public holidays as declared by the Minister, subject to a maximum of nine (9) such holidays per year.",ENTAILMENT
"An employee must be given paid public holidays, up to 9 days per year.",Public holidays shall be treated as normal working days without additional pay or leave,CONTRADICTION
"If an employee works on a public holiday, they must receive a replacement holiday or double pay.","Where the Employee is required to work on a declared public holiday with prior approval, the Employee shall be granted a substitute holiday with full pay or be paid at double the normal rate of remuneration.",ENTAILMENT
"If an employee works on a public holiday, they must receive a replacement holiday or double pay.",Work performed on public holidays shall be paid at the normal daily rate with no replacement holiday.,CONTRADICTION
An employee must be granted a holiday on each Full Moon Poya Day.,"The Employee shall be granted a holiday on each Full Moon Poya Day, subject to statutory provisions regarding overlapping holidays.",ENTAILMENT
An employee must be granted a holiday on each Full Moon Poya Day.,The Employee shall not be entitled to any holiday on Full Moon Poya Days.,CONTRADICTION
"If an employee works on a Full Moon Poya Day, they must be paid at least 1.5× the normal daily rate.","Where the Employee is employed on a Full Moon Poya Day, the Employee shall be paid not less than one and one-half (1.5) times the normal daily rate of remuneration.",ENTAILMENT
"If an employee works on a Full Moon Poya Day, they must be paid at least 1.5× the normal daily rate.",Work on Poya Days shall be compensated at the standard daily wage only,CONTRADICTION
An employee must be given meal intervals as specified in the Act’s Schedule.,The Employee shall be provided with intervals for meals in accordance with the regulations prescribed in the Schedule to the Act.,ENTAILMENT
An employee must be given meal intervals as specified in the Act’s Schedule.,The Employee agrees to work continuously without meal or rest intervals.,CONTRADICTION
No person under 16 years old may be employed in a shop or office.,No person under the age of sixteen (16) years shall be employed under this Agreement.,ENTAILMENT
No person under 16 years old may be employed in a shop or office.,The Employer may engage persons below sixteen (16) years of age for shop or office work,CONTRADICTION
"Employees aged 16–18 (male) and all female employees cannot be employed before 6 a.m. or after 6 p.m., except: (i) females 18+ in hotels/restaurants until 10 p.m., (ii) females 18+ in residential hotels, (iii) females 18+ in shops/offices until 8 p.m., (iv) males 16+ in hotels/restaurants/entertainment until 10 p.m., (v) females 18+ in IT/BPO/back offices","No Employee who is a female, or a male Employee between the ages of sixteen (16) and eighteen (18) years, shall be employed before 6.00 a.m. or after 6.00 p.m., except as specifically permitted under Section 10(2) of the Shop and Office Employees Act, including employment in hotels, restaurants, IT/BPO institutions, and other prescribed work.",ENTAILMENT
"Employees aged 16–18 (male) and all female employees cannot be employed before 6 a.m. or after 6 p.m., except: (i) females 18+ in hotels/restaurants until 10 p.m., (ii) females 18+ in residential hotels, (iii) females 18+ in shops/offices until 8 p.m., (iv) males 16+ in hotels/restaurants/entertainment until 10 p.m., (v) females 18+ in IT/BPO/back offices",Employees of any age or gender may be required to work at any time of day or night.,CONTRADICTION
Employers must provide adequate lighting and ventilation.,"The Employer shall ensure suitable and sufficient lighting and ventilation in all areas where Employees work, in accordance with statutory health and comfort standards.",ENTAILMENT
Employers must provide adequate lighting and ventilation.,The Employer shall not be responsible for providing lighting or ventilation in the workplace.,CONTRADICTION
"Employers must provide sanitary and washing facilities, including separate female facilities.","The Employer shall provide and maintain suitable sanitary conveniences and washing facilities for Employees, including separate facilities for female Employees where applicable.",ENTAILMENt
"Employers must provide sanitary and washing facilities, including separate female facilities.",No sanitary or washing facilities are guaranteed to Employees under this Agreemen,CONTRADICTION
An employer must not terminate a worker’s employment unless the worker gives written consent or the Labour Commissioner gives prior written approval.,"The Employer shall not terminate the scheduled employment of the Employee unless prior written consent of the Employee is obtained or prior written approval is granted by the Commissioner of Labour, in accordance with applicable law.",ENTAILMENT
An employer must not terminate a worker’s employment unless the worker gives written consent or the Labour Commissioner gives prior written approval.,The Employer may terminate the employment of the Worker at any time without obtaining written consent from the Worker or approval from the Commissioner of Labour,CONTRADICTION
The employer must give the worker a copy of the termination request and allow the worker to respond before a decision is made.,"Any application made by the Employer seeking approval for termination shall be served on the Employee, who shall be afforded a reasonable opportunity to be heard before a decision is made.",ENTAILMENT
The employer must give the worker a copy of the termination request and allow the worker to respond before a decision is made.,The Employer is not required to notify the Worker or provide an opportunity to respond prior to seeking termination approval.,CONTRADICTION
The Labour Commissioner has full authority to approve or reject a termination request.,The Parties acknowledge that approval for termination shall be granted or refused at the absolute discretion of the Commissioner of Labour.,ENTAILMENT
The Labour Commissioner has full authority to approve or reject a termination request.,The Employer’s decision to terminate employment shall be final and shall not be subject to approval or discretion of the Commissioner,CONTRADICTION
The Commissioner must grant or refuse approval to terminate employment within 3 months of the employer’s application.,The Commissioner of Labour shall grant or refuse approval for termination within three (3) months from the date of receipt of the Employer’s application.,ENTAILMENT
The Commissioner must grant or refuse approval to terminate employment within 3 months of the employer’s application.,The Employer may proceed with termination without waiting for any decision or response period prescribed for the Commissioner of Labour.,CONTRADICTION
The Commissioner must notify both employer and worker in writing of the decision on a termination application.,Written notice of the Commissioner’s decision shall be provided to both the Employer and the Employee.,ENTAILMENT
The Commissioner must notify both employer and worker in writing of the decision on a termination application.,No written notice of termination decisions is required to be issued to the Worker,CONTRADICTION
"The Commissioner may set terms and conditions for termination, including gratuity or compensation payable by the employer.","Any approval granted by the Commissioner may be subject to such terms and conditions, including payment of gratuity or compensation to the Employee, as determined by the Commissioner.",ENTAILMENT
"The Commissioner may set terms and conditions for termination, including gratuity or compensation payable by the employer.","The Employer shall not be liable to pay any gratuity or compensation as a condition of termination, regardless of any directive issued by the Commissioner of Labour.",CONTRADICTION
The Commissioner’s decision on termination approval cannot be challenged in court.,Any decision of the Commissioner under this Act shall be final and conclusive and shall not be subject to challenge before any court or tribunal.,ENTAILMENT
The Commissioner’s decision on termination approval cannot be challenged in court.,Any decision or order issued by the Commissioner of Labour may be disregarded or challenged by the Employer at its discretion.,CONTRADICTION
The worker must be informed within 3 days and given 7 days to respond to a termination request.,"Upon receipt of an application for termination approval, the Commissioner shall notify the Employee within three (3) days and allow the Employee a period of seven (7) days to submit a response, subject to lawful extensions.",ENTAILMENT
The worker must be informed within 3 days and given 7 days to respond to a termination request.,The Employer may terminate employment immediately without informing the workman or allowing any response period.,CONTRADICTION
Disobeying the Commissioner’s order is a criminal offence.,Failure by the Employer to comply with a decision of the Commissioner shall constitute an offence punishable in accordance with applicable law.,ENTAILMENT
Disobeying the Commissioner’s order is a criminal offence.,Failure to comply with any order of the Commissioner shall not result in any offence or penalty,CONTRADICTION
Employers must pay a daily fine for continuing to ignore the Commissioner’s order.,"Where non-compliance continues after conviction, the Employer shall be liable to pay an additional daily fine as prescribed by law until compliance is effected.",ENTAILMENT
Employers must pay a daily fine for continuing to ignore the Commissioner’s order.,Non-compliance with any order or direction issued by the Commissioner of Labour shall not constitute an offence under this Agreement.,CONTRADICTION
"Termination includes any form of non-employment by the employer, whether temporary or permanent, including termination due to business closure, but excluding disciplinary dismissal.","For the purposes of this Agreement, termination of employment shall include non-employment, whether temporary or permanent, including termination arising from closure of the Employer’s business, other than disciplinary dismissal.",ENTAILMENT
"Termination includes any form of non-employment by the employer, whether temporary or permanent, including termination due to business closure, but excluding disciplinary dismissal.",Temporary or permanent non-employment of a workman shall not be treated as termination under this Agreement.,CONTRADICTION
Employers must give written reasons within 2 working days for disciplinary termination.,"Where employment is terminated by way of disciplinary action, the Employer shall notify the Employee in writing of the reasons for termination within two (2) working days.",ENTAILMENT
Employers must give written reasons within 2 working days for disciplinary termination.,The Employer is not required to provide written reasons for disciplinary termination.,CONTRADICTION
The Act applies only to employers with 15 or more workers.,"The provisions of this Agreement relating to termination approval shall apply only where the Employer employs an average of fifteen (15) or more workmen, in accordance with law.",ENTAILMENT
The Act applies only to employers with 15 or more workers.,This Agreement applies termination rules equally regardless of the number of workers employed,CONTRADICTION
"A worker is not protected by this Act if their total period of employment is less than 180 days, even after counting approved leave, injury leave, occupational disease leave, employer-caused work stoppages, lawful strikes or lockouts (up to 30 days), and statutory holidays.","This Act shall not apply where the Employee has been employed for a total period of less than one hundred and eighty (180) days, inclusive of all approved absences, statutory leave, injury-related leave, lawful strike or lockout periods, and days on which work was not provided by the Employer.",ENTAILMENT
"A worker is not protected by this Act if their total period of employment is less than 180 days, even after counting approved leave, injury leave, occupational disease leave, employer-caused work stoppages, lawful strikes or lockouts (up to 30 days), and statutory holidays.",All Workers are subject to termination approval rules regardless of length of service,CONTRADICTION
Retirement-related termination is excluded from this Act.,Termination of employment upon attainment of the statutory minimum retirement age shall be excluded from the provisions of this Act.,ENTAILMENT
Retirement-related termination is excluded from this Act.,Termination due to retirement shall require prior approval under this Agreement,CONTRADICTION
Workers covered by this Act are excluded from Industrial Disputes Act retrenchment rules.,Employees covered under this Act shall not be subject to the retrenchment provisions of Part IVB of the Industrial Disputes Act.,ENTAILMENT
Workers covered by this Act are excluded from Industrial Disputes Act retrenchment rules.,All retrenchment provisions under the Industrial Disputes Act shall apply to this Agreement.,CONTRADICTION
A termination that violates this Act is illegal and has no legal effect.,"Any termination effected in contravention of this Act shall be illegal, null and void, and of no legal effect.",ENTAILMENT
A termination that violates this Act is illegal and has no legal effect.,Any termination made in breach of law shall nevertheless remain valid and enforceable,CONTRADICTION
"If a termination is unlawful, the Commissioner may order reinstatement and payment of wages and benefits, and the employer must comply.","Where termination is unlawful, the Commissioner may order reinstatement of the Employee with full wages and benefits, and the Employer shall comply with such order.",ENTAILMENT
"If a termination is unlawful, the Commissioner may order reinstatement and payment of wages and benefits, and the employer must comply.",The Employer shall not be required to reinstate any Worker under any circumstances,CONTRADICTION
"If employment is terminated due to business closure in violation of the Act, the Commissioner may order compensation instead of reinstatement.","Where reinstatement is impracticable due to business closure, the Commissioner may order the Employer to pay compensation in lieu of reinstatement.",ENTAILMENT
"If employment is terminated due to business closure in violation of the Act, the Commissioner may order compensation instead of reinstatement.",No compensation shall be payable even where termination results from business closure,CONTRADICTION
Workers must complain within 6 months of termination.,Any application relating to unlawful termination shall be made within six (6) months from the date of termination.,ENTAILMENT
Workers must complain within 6 months of termination.,The Worker may file complaints at any time without limitation.,CONTRADICTION
Compensation amounts are calculated according to a Gazette formula determined by the Commissioner and Minister.,Any compensation payable shall be calculated in accordance with the formula prescribed by Order published in the Gazette.,ENTAILMENT
Compensation amounts are calculated according to a Gazette formula determined by the Commissioner and Minister.,Any compensation payable shall be determined solely by the Employer,CONTRADICTION
An employer must not employ a woman worker during the four weeks immediately after her confinement.,A female employee shall not be required or permitted to work during the four weeks immediately following childbirth.,ENTAILMENT
An employer must not employ a woman worker during the four weeks immediately after her confinement.,The Employer may require a woman worker to resume duties immediately following confinement if operational needs so require.,CONTRADICTION
A woman worker is entitled to 12 weeks of maternity benefit for a live child: 2 weeks before confinement + 10 weeks after.,A female employee who gives birth to a live child shall be entitled to twelve (12) weeks of paid maternity leave.,ENTAILMENT
A woman worker is entitled to 12 weeks of maternity benefit for a live child: 2 weeks before confinement + 10 weeks after.,Maternity leave shall be limited to a maximum of four weeks regardless of the outcome of confinement.,CONTRADICTION
A woman worker is entitled to 6 weeks of maternity benefit for a still birth: 2 weeks before + 4 weeks after.,A female employee shall be entitled to six (6) weeks of maternity leave where the confinement does not result in a live birth.,ENTAILMENT
A woman worker is entitled to 6 weeks of maternity benefit for a still birth: 2 weeks before + 4 weeks after.,No maternity leave shall be granted where confinement does not result in a live birth.,CONTRADICTION
"If a woman worker worked any days during the 2‑week pre‑confinement period, she is entitled to maternity benefit for the same number of days after the standard period ends.",Any days worked by a female employee during the pre-confinement maternity period shall be added to her post-confinement maternity leave entitlement.,ENTAILMENT
"If a woman worker worked any days during the 2‑week pre‑confinement period, she is entitled to maternity benefit for the same number of days after the standard period ends.",Any work done before confinement shall not extend maternity benefits,CONTRADICTION
"If the woman worker dies during her maternity benefit period, she (or her nominee) is paid benefits only up to the day of her death.",Maternity benefits shall be payable only up to the date of death in the event of the employee’s death during the maternity benefit period.,ENTAILMENT
"If the woman worker dies during her maternity benefit period, she (or her nominee) is paid benefits only up to the day of her death.",Maternity benefits shall cease entirely upon death with no payments due.,CONTRADICTION
"An employer must pay maternity benefit at the prescribed rate for the full statutory period (12 weeks for live birth, 6 weeks for non‑live), including extra days under the proviso rule.",The Company shall pay maternity benefits at the prescribed rate for the full maternity leave period as required by law.,ENTAILMENT
"An employer must pay maternity benefit at the prescribed rate for the full statutory period (12 weeks for live birth, 6 weeks for non‑live), including extra days under the proviso rule.",Maternity benefits shall be unpaid unless otherwise determined by the Employer.,CONTRADICTION
Maternity benefit periods are in addition to any other leave or holiday rights the woman worker has.,"Maternity leave shall be granted in addition to annual leave, casual leave, or any other statutory leave.",ENTAILMENT
Maternity benefit periods are in addition to any other leave or holiday rights the woman worker has.,Any maternity leave granted shall be deducted from the employee’s annual or casual leave entitlement.,CONTRADICTION
A woman worker may give notice to her employer of her expected confinement within one month before the date.,A pregnant employee may notify the Company of her expected date of confinement at least one month in advance.,ENTAILMENT
A woman worker may give notice to her employer of her expected confinement within one month before the date.,Advance notice of confinement is not recognized.,CONTRADICTION
"After confinement, a woman worker must give notice within one week of the confinement date and indicate if it was a live birth.","Following childbirth, the employee shall inform the employer of the date of confinement within one week.",ENTAILMENT
"After confinement, a woman worker must give notice within one week of the confinement date and indicate if it was a live birth.",The Employee shall not be required or permitted to notify the Employer following childbirth.,CONTRADICTION
A woman worker may nominate someone to receive her maternity benefit on her behalf.,An employee may nominate another person to receive maternity benefit payments on her behalf.,ENTAILMENT
A woman worker may nominate someone to receive her maternity benefit on her behalf.,Maternity benefits shall be paid only to the Employee and shall not be payable to any nominated person.,CONTRADICTION
An employer must allow the woman worker to be absent for the full statutory maternity benefit period.,The Company shall permit maternity leave for the full period prescribed under the Maternity Benefits Ordinance.,ENTAILMENT
An employer must allow the woman worker to be absent for the full statutory maternity benefit period.,Any absence due to childbirth shall be treated as unauthorized leave and subject to disciplinary action.,CONTRADICTION
"If the woman worker dies, the employer must pay due maternity benefit to her nominee or her legal heir.","In the event of the employee’s death, maternity benefits shall be paid to her nominee or lawful heir.",ENTAILMENT
"If the woman worker dies, the employer must pay due maternity benefit to her nominee or her legal heir.",No maternity benefits shall be payable to any nominee or legal heir under any circumstances.,CONTRADICTION
"An employer must not dismiss a woman worker during maternity absence, nor have notice expire during that absence.",No notice of termination shall be issued to an employee during her maternity leave period.,ENTAILMENT
"An employer must not dismiss a woman worker during maternity absence, nor have notice expire during that absence.","The Employer may issue notice of dismissal at any time, including during maternity leave.",CONTRADICTION
"An employer must not terminate employment solely because of the worker’s pregnancy, confinement, or related illness.","Pregnancy, childbirth, or related illness shall not constitute grounds for termination of employment.",ENTAILMENT
"An employer must not terminate employment solely because of the worker’s pregnancy, confinement, or related illness.",Pregnancy or confinement may constitute valid grounds for termination of employment.,CONTRADICTION
"If a worker gives notice of expected confinement, the employer must not assign her work harmful to her or her child during pregnancy and 3 months after confinement.",Pregnant employees shall not be assigned duties that may be harmful to their health or that of the unborn child.,ENTAILMENT
"If a worker gives notice of expected confinement, the employer must not assign her work harmful to her or her child during pregnancy and 3 months after confinement.",The Employer may assign any duties regardless of pregnancy or health condition.,CONTRADICTION
"After confinement, the employer must not employ the worker in harmful work for 3 months.",Employees returning after childbirth shall not be assigned hazardous duties for a period of three months.,ENTAILMENT
"After confinement, the employer must not employ the worker in harmful work for 3 months.",No post-confinement work restrictions shall apply to the Employee.,CONTRADICTION
"If there is a dispute about whether a dismissal notice given to a woman worker was for sufficient cause, the matter must be decided by the Commissioner of Labour, whose decision is final.",Any dispute relating to dismissal during maternity shall be referred to the Commissioner of Labour for final determination.,ENTAILMENT
"If there is a dispute about whether a dismissal notice given to a woman worker was for sufficient cause, the matter must be decided by the Commissioner of Labour, whose decision is final.",All disputes relating to maternity dismissal shall be decided solely by the Employer.,CONTRADICTION
"A woman worker who is nursing a child under one year of age must be allowed two nursing intervals within any nine-hour work period. Each interval must be at least 30 minutes if a creche or suitable place is provided, or at least one hour if not provided, and these intervals are in addition to other breaks and count as paid working time.",Nursing mothers shall be granted two paid nursing intervals per working day as required by law.,ENTAILMENT
"A woman worker who is nursing a child under one year of age must be allowed two nursing intervals within any nine-hour work period. Each interval must be at least 30 minutes if a creche or suitable place is provided, or at least one hour if not provided, and these intervals are in addition to other breaks and count as paid working time.",No nursing breaks shall be granted during working hours,CONTRADICTION
"If the employer has more than the prescribed number of women workers, it must provide and maintain a crèche for children under five and allow eligible workers to use it.","Where required by law, the employer shall provide and maintain a crèche facility for employees’ children.",ENTAILMENT
"If the employer has more than the prescribed number of women workers, it must provide and maintain a crèche for children under five and allow eligible workers to use it.",The Employer shall have no obligation to provide or maintain a crèche facility.,CONTRADICTION
Employers must pay gratuity to workmen who have completed the minimum service period.,The Employer shall pay the Employee a gratuity for services rendered upon completion of five years of continuous employment.,ENTAILMENT
Employers must pay gratuity to workmen who have completed the minimum service period.,"The Employer states that gratuity payments are discretionary and not mandatory, regardless of the Employee’s length of service.",CONTRADICTION
"If the employer dies, the legal representative is responsible for paying the gratuity.","In the event of the Employer’s death, the gratuity owed to the Employee shall be discharged by the Employer’s legal representative.",ENTAILMENT
